#Date,news pleasantness,news attention,news sensitivity,news aptitude,news polarity,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2008-11-05,31.449,11.549,20.977,45.083,36.425,16.485,25.598,25.326,13.375,17.112,-2
2008-11-06,9.179,8.896,18.511,31.258,24.974,31.449,11.549,20.977,45.083,36.425,-2
2008-11-07,8.187,4.289,16.281,24.922,18.411,9.179,8.896,18.511,31.258,24.974,2
2008-11-10,6.903,10.088,17.674,12.498,8.372,-1.792,3.132,21.61,11.101,7.209,-1
2008-11-11,20.244,19.008,12.919,17.911,15.438,6.903,10.088,17.674,12.498,8.372,-2
2008-11-12,-12.948,11.1,29.896,0.542,-7.745,20.244,19.008,12.919,17.911,15.438,-2
2008-11-13,7.49,22.814,23.989,23.056,15.346,-12.948,11.1,29.896,0.542,-7.745,2
2008-11-14,12.165,5.336,16.457,27.496,21.445,7.49,22.814,23.989,23.056,15.346,-2
2008-11-17,17.171,13.705,15.501,22.358,20.378,3.009,4.603,22.994,12.468,9.976,-2
2008-11-18,20.337,6.273,9.717,35.959,32.643,17.171,13.705,15.501,22.358,20.378,2
2008-11-19,35.375,6.959,17.246,34.392,33.767,20.337,6.273,9.717,35.959,32.643,-2
2008-11-20,-3.361,13.378,21.345,8.288,5.222,35.375,6.959,17.246,34.392,33.767,-2
2008-11-21,17.495,-0.751,29.306,12.179,14.422,-3.361,13.378,21.345,8.288,5.222,2
2008-11-24,14.789,17.125,13.043,40.783,29.348,-6.308,10.324,28.463,18.914,10.021,2
2008-11-25,17.523,17.956,5.724,29.081,23.568,14.789,17.125,13.043,40.783,29.348,1
2008-11-26,10.213,23.045,7.727,9.316,11.692,17.523,17.956,5.724,29.081,23.568,2
2008-11-28,3.196,14.128,22.537,6.601,10.43,15.257,24.726,-0.087,21.634,20.788,1
2008-12-01,13.752,11.042,26.871,13.976,18.289,14.731,34.431,7.992,35.066,28.862,-2
2008-12-02,30.084,10.953,25.833,29.96,27.937,13.752,11.042,26.871,13.976,18.289,2
2008-12-03,26.722,4.194,2.851,41.46,32.808,30.084,10.953,25.833,29.96,27.937,2
2008-12-04,16.202,9.539,19.647,24.207,20.845,26.722,4.194,2.851,41.46,32.808,-2
2008-12-05,7.263,4.689,21.428,23.373,20.883,16.202,9.539,19.647,24.207,20.845,2
2008-12-08,10.742,6.643,30.068,16.78,14.32,0.471,0.683,19.812,6.273,1.906,2
2008-12-09,-15.506,20.966,16.866,-5.135,-9.343,10.742,6.643,30.068,16.78,14.32,-2
