#Date,news positivity,news negativity,yesterday news positivity, yesterday news negativity,stock change
2010-12-21,12.6457758207,15.6268603585,10.4420545738,11.3641984383,1
2010-12-22,8.6797054137,10.5445230952,12.6457758207,15.6268603585,1
2010-12-23,13.5310413907,14.784408819,8.6797054137,10.5445230952,1
2010-12-27,14.8406315776,18.0687525988,11.9749197182,15.37378417,-1
2010-12-28,10.6197341684,14.3846806048,14.8406315776,18.0687525988,1
2010-12-29,12.2836374565,11.439654518,10.6197341684,14.3846806048,0
2010-12-30,13.2824991643,11.4493921668,12.2836374565,11.439654518,-1
2010-12-31,18.3595291532,18.8918741768,13.2824991643,11.4493921668,0
2011-01-03,13.0590535995,13.7064714566,10.2878487054,15.5028568288,1
2011-01-04,9.0975754763,12.3819235615,13.0590535995,13.7064714566,1
2011-01-05,13.1974036554,17.9194483119,9.0975754763,12.3819235615,1
2011-01-06,7.8222318105,12.0143823645,13.1974036554,17.9194483119,-1
2011-01-07,13.2642059211,16.3851256558,7.8222318105,12.0143823645,-1
2011-01-10,16.2882351722,15.9689469283,12.7447200126,10.3596550809,-1
2011-01-11,10.1405345111,12.6743147694,16.2882351722,15.9689469283,1
2011-01-12,10.6882888656,12.0303150326,10.1405345111,12.6743147694,1
2011-01-13,8.0958317456,11.4357596867,10.6882888656,12.0303150326,-1
2011-01-14,11.7186581254,11.6618535744,8.0958317456,11.4357596867,1
2011-01-18,9.8662719157,14.1185262484,8.5565241432,9.8498916077,1
2011-01-19,11.69895514,12.3421292011,9.8662719157,14.1185262484,0
2011-01-20,16.6014265704,17.5089960001,11.69895514,12.3421292011,0
2011-01-21,10.2774475085,18.8137374221,16.6014265704,17.5089960001,1
2011-01-24,11.7230560808,9.340573215,10.4924875372,16.5005623907,1
2011-01-25,8.3464861888,13.2476119673,11.7230560808,9.340573215,0
2011-01-26,6.3846656176,6.893705702,8.3464861888,13.2476119673,0
2011-01-27,11.1994948934,13.9810826335,6.3846656176,6.893705702,0
2011-01-28,9.1939256203,15.5469920196,11.1994948934,13.9810826335,-2
2011-01-31,8.0089099278,11.8024471691,10.3016459858,13.1718684476,1
2011-02-01,12.2588623664,14.580528524,8.0089099278,11.8024471691,2
2011-02-02,13.6446229336,14.0949430651,12.2588623664,14.580528524,0
2011-02-03,12.9770548743,17.9865146073,13.6446229336,14.0949430651,1
2011-02-04,8.1384396985,9.9431764411,12.9770548743,17.9865146073,1
2011-02-07,7.6344429202,11.6098395343,16.4725998446,18.5131955906,1
2011-02-08,8.3146781398,8.4010158823,7.6344429202,11.6098395343,1
2011-02-09,8.0113389175,13.7322956697,8.3146781398,8.4010158823,0
