#Date,news positivity,news negativity,stock change
2008-08-08,7.969105680293494,11.452720596527314,302.23046799999975
2008-08-11,7.0496138971322795,7.933008760030819,52.67968700000165
2008-08-12,7.184295511639263,9.711417318908127,-139.23046799999975
2008-08-13,6.584046531270217,6.863564016175861,-99.84960899999896
2008-08-14,7.913668293887916,7.958484958668781,83.85937600000034
2008-08-15,6.785709879967816,11.7389174164329,48.69042999999874
2008-08-18,4.018308893226656,10.879504290751388,-180.2607429999989
2008-08-19,5.97836582444044,6.4358146115666255,-129.54003899999952
2008-08-20,7.7265870642515395,8.118529040404042,71.48925799999961
2008-08-21,7.120706184896974,9.939157379900802,14.979492000000391
2008-08-22,8.499617817639875,9.103384143634145,201.26953099999992
2008-08-25,6.531563941519436,8.817337831801844,-239.94043000000056
2008-08-26,5.852521538918596,8.345887445887444,29.310547000000952
2008-08-27,5.140453105868262,7.3367775928120755,90.04980499999874
2008-08-28,3.5336651365996246,6.846773271315412,215.30957099999978
2008-08-29,5.027437628438308,7.405935929970412,-169.2705079999996
2008-09-02,8.42266883185614,11.005095011039197,-28.709961000000476
2008-09-03,5.62063497185156,6.915010903746644,26.87011700000039
2008-09-04,5.314832026633497,6.625436463046756,-344.25
2008-09-05,9.63114831466263,8.605312427467613,35.33007800000087
2008-09-08,4.392507322470557,8.159423555747082,285.8701170000004
2008-09-09,9.378826916520804,10.680781325057776,-284.0
2008-09-10,5.641525835275835,7.3605165667665675,35.00976599999922
2008-09-11,5.3202471345209865,6.974914965934959,169.26953099999992
2008-09-12,8.91743504120149,11.51545455103892,-7.330077999999048
2008-09-15,9.788924003692388,9.815879944402004,-498.8603510000012
2008-09-16,7.031248021486024,9.583228264110618,153.39941399999952
2008-09-17,5.212449999619117,5.218886200604951,-446.91992200000095
2008-09-18,3.9320346439958502,6.692127691912176,410.68066400000134
2008-09-19,6.209427018331911,6.992023957695474,360.93066400000134
2008-09-22,5.223444990849168,9.491158674313853,-378.7294919999986
2008-09-23,4.631435241637447,8.480466939106648,-161.52050800000143
2008-09-24,7.8129086067145534,7.2375596000875735,-24.849609000000783
2008-09-25,5.6689042484658625,7.016577669351088,194.8896480000003
2008-09-26,3.9650620814514,8.55672280076305,124.08984400000008
2008-09-29,6.9286288149629875,8.555850619753487,-774.169922000001
2008-09-30,6.5817510614385615,9.47028185934436,479.08007799999905
2008-10-01,12.13746022214684,12.689473605022398,-16.330078999999387
2008-10-02,8.392900520532098,7.662739816513036,-342.69042999999874
2008-10-03,9.412905622020366,10.498795961561056,-158.58007800000087
2008-10-06,4.995074653051627,7.256988079322637,-367.0195309999999
2008-10-07,7.039094063416301,6.684388573650263,-508.30956999999944
2008-10-08,6.114171592296593,9.243091202098558,-179.1308599999993
2008-10-09,7.531901267592058,10.352164220798123,-682.5
2008-10-10,6.540801557844501,8.961208851054298,-117.47949199999857
2008-10-13,8.544398675007661,8.206366773362937,925.1904300000006
2008-10-14,9.6515110799386,10.358705817524804,-77.97949299999891
2008-10-15,5.726594585969586,7.652739621489623,-724.0
2008-10-16,5.862989789273294,6.515714450957277,402.2197269999997
2008-10-17,9.267762379487328,8.483777288775787,-123.12988200000109
2008-10-20,7.121899943432099,5.311214146129885,413.1298829999996
2008-10-21,7.263042276822804,9.47739134819031,-229.13964900000065
2008-10-22,6.659456936696389,7.981074530636051,-508.6298829999996
2008-10-23,9.811569193477679,12.182117838397836,171.48046900000008
2008-10-24,7.8974688477964685,9.380393142363909,-304.25976600000104
2008-10-27,9.890944167259956,12.172540118805603,-200.1499019999992
2008-10-28,4.830649447261291,7.975585691259064,886.3999020000001
2008-10-29,8.429901047536045,9.582866186433243,-71.37011700000039
2008-10-30,9.409081215542745,9.754571455137786,176.03027400000065
2008-10-31,5.788282550782552,7.513108970278089,145.91992199999913
2008-11-03,5.438513241144821,10.886173448262264,-6.209960999998657
2008-11-04,6.215906325992533,9.732014172717774,301.390625
2008-11-05,8.74287292783326,10.05786370903921,-477.33007800000087
2008-11-06,7.810373765660865,8.911604805920414,-438.2197269999997
2008-11-07,5.107036388471982,7.415155743891095,247.77929699999913
2008-11-10,6.730568672920647,6.80158347235553,-76.05957000000126
2008-11-11,4.83070961385106,9.588471415280623,-170.36035099999935
2008-11-12,6.117744890535013,10.53199060947223,-401.859375
2008-11-13,8.079707052754612,10.251854144944987,554.1103519999997
2008-11-14,6.796932303485131,10.044181552881243,-324.8808600000011
2008-11-17,5.2632811401919355,8.803107604684616,-221.25976599999922
2008-11-18,5.986538649689852,9.260186706706062,151.41015599999992
2008-11-19,4.779902406944642,4.19901792356509,-423.41064500000084
2008-11-20,5.5513370471987775,6.592560125491436,-443.2397459999993
2008-11-21,7.33821241516917,9.396940976214877,494.04980499999965
2008-11-24,9.81234358875129,10.504198986213305,395.2998040000002
2008-11-25,5.371394622889189,9.655195193766167,34.33007899999939
2008-11-26,3.5873254578024314,6.619158945629534,262.1201179999989
2008-11-28,7.389929888947884,14.463990362645553,104.33984400000008
2008-12-01,5.702571002795709,8.974027812572704,-677.7998040000002
2008-12-02,10.762349817271131,10.739354621119142,265.3398440000001
2008-12-03,9.608385507552306,12.725549263601895,182.55078200000025
2008-12-04,7.2299183455433464,10.318570522614642,-210.83007799999905
2008-12-05,7.677974691810676,8.631701051203109,259.33984399999827
2008-12-08,6.117027710206888,9.771240636406077,296.52929700000095
2008-12-09,8.044193477412838,14.348121683901054,-242.76953099999992
2008-12-10,7.95205994757425,9.837962528648628,68.41992199999913
2008-12-11,6.984496745705985,13.501638118825625,-185.04003899999952
