#Date,news positivity,news negativity,stock change
2009-01-29,8.0544169471,11.7384971398,-2
2009-01-30,6.8195321427,8.6326617813,-2
2009-02-02,7.8862830976,11.0353701208,-1
2009-02-03,9.4867341436,14.256170294,2
2009-02-04,9.4981746601,12.6547778776,-1
2009-02-05,9.4373747727,10.1842842794,1
2009-02-06,8.6563692842,12.6622730688,2
2009-02-09,8.9448637958,13.577032078,0
2009-02-10,7.6441739833,11.9278452889,-2
2009-02-11,10.9119386238,14.247222439,1
2009-02-12,6.7503378985,10.6478954287,0
2009-02-13,7.1771045971,10.8142998703,-1
2009-02-17,7.5684177036,8.5223451997,-2
2009-02-18,6.1065360599,10.1697026523,0
2009-02-19,7.2366524233,8.5480421729,-1
2009-02-20,6.0182690734,8.9621400916,-1
2009-02-23,5.7819213183,8.959012353,-2
2009-02-24,10.6166814644,14.232749007,2
2009-02-25,6.8020471173,11.9862149333,-1
2009-02-26,11.2334002607,12.9707648132,-1
2009-02-27,9.8606746078,9.6694610319,-1
2009-03-02,6.7184486499,10.3540675615,-2
2009-03-03,7.0867580221,10.8046321366,-1
2009-03-04,9.3305784798,11.3615113499,2
2009-03-05,12.9784281121,13.5410609521,-2
2009-03-06,7.8446687975,11.4892954773,1
2009-03-09,9.9414120512,10.848267989,-1
2009-03-10,7.0579701238,7.143849683,2
2009-03-11,6.67550516,10.1808908208,0
2009-03-12,7.0395610712,9.4668394985,2
2009-03-13,8.9615420049,10.648722858,1
2009-03-16,9.1691580058,15.7945503018,0
2009-03-17,9.0927131753,14.0928743832,2
2009-03-18,5.8827398259,11.391122153,1
2009-03-19,8.9521939255,11.1028570844,-1
2009-03-20,8.2657834645,14.8468251428,-1
2009-03-23,11.9028397115,10.9120773915,2
2009-03-24,8.8150117484,12.4456257271,-1
2009-03-25,7.2256662361,14.18039115,1
2009-03-26,8.4413594771,9.5267254619,2
2009-03-27,7.4650012759,9.3643049033,-2
2009-03-30,9.0761572906,11.6225641429,-2
2009-03-31,9.0327742081,10.0540701355,1
2009-04-01,6.385224496,13.6226540057,2
2009-04-02,8.6233521656,12.9983324574,2
2009-04-03,8.834662074,11.9372901363,1
2009-04-06,7.7932551546,15.9039238817,-1
2009-04-07,7.1970961495,13.3177878773,-2
2009-04-08,9.0714486059,8.6779634058,1
2009-04-09,7.1098462031,11.8420910583,2
2009-04-13,6.5267785552,9.1774975098,-1
2009-04-14,8.586149321,10.3608075934,-1
2009-04-15,5.9885951456,12.1788219735,1
2009-04-16,8.9812787452,8.5779488178,1
2009-04-17,7.6415273103,10.9269250224,0
2009-04-20,8.030372134,11.3873148912,-2
2009-04-21,8.4736378496,8.8268512543,1
2009-04-22,9.4327912097,13.1064075247,-1
2009-04-23,13.5237466567,13.3725895208,1
2009-04-24,10.1683303106,10.643708198,1
2009-04-27,11.8024044646,9.1617509635,-1
2009-04-28,17.4368771939,12.846931733,0
2009-04-29,11.5948483899,13.592722044,2
2009-04-30,11.8682475294,12.6696186485,-1
2009-05-01,16.2979203197,14.9323026433,1
2009-05-04,12.1480082339,12.0576701726,2
2009-05-05,8.0567588051,11.0526274004,-1
2009-05-06,8.7311317155,12.2638533342,1
2009-05-07,9.3034209266,10.880538655,-1
2009-05-08,9.7784598582,12.5410808411,2
2009-05-11,10.7110439338,15.200699473,-2
2009-05-12,11.2752448924,9.6729051835,1
2009-05-13,10.7464775264,13.4054393304,-2
2009-05-14,10.2005816143,12.80181274,1
2009-05-15,8.8687019599,10.7946389398,-1
2009-05-18,7.3695060789,8.1173463034,2
2009-05-19,11.9725673961,10.6578110353,-1
2009-05-20,9.6994402308,15.2249258092,-1
2009-05-21,7.4478089363,10.9626361799,-1
2009-05-22,10.3183749599,13.4815711745,-1
2009-05-26,9.9767492777,13.748650771,2
2009-05-27,7.9833562745,12.6935520676,-2
2009-05-28,10.5510778324,8.7388936762,1
2009-05-29,13.5034251728,15.0545330712,1
2009-06-01,7.2532270207,11.3113252412,2
2009-06-02,10.1809338991,14.1501807803,1
2009-06-03,8.7065393452,8.5344527001,-1
2009-06-04,10.9279239567,10.8320003768,1
