#Date,yesterday news positivity, yesterday news negativity,stock change
2008-08-08,9.186725182905333,13.984934703368527,1
2008-08-11,8.672518636240095,8.97330468327711,0
2008-08-12,7.065238897132279,7.96425876003082,0
2008-08-13,7.403045511639262,9.71141731890813,0
2008-08-14,6.597935420159107,6.9429290955409355,0
2008-08-15,7.93450162722125,7.958484958668783,0
2008-08-18,5.7925489139389335,7.353754832579927,-1
2008-08-19,4.364737464655227,11.373551909799005,0
2008-08-20,6.154647875722488,6.417957468709479,0
2008-08-21,7.7265870642515395,8.21227904040404,0
2008-08-22,7.524947256325544,10.239603808472227,1
2008-08-25,3.2992730895265723,5.839029798675699,-1
2008-08-26,6.621900075973219,9.49039455449092,0
2008-08-27,5.790021538918597,8.455262445887447,0
2008-08-28,5.330624046039202,7.478642672177157,1
2008-08-29,3.8859378638723516,6.956148271315412,-1
2008-09-02,7.668478262954365,5.62327493890913,0
2008-09-03,9.009062299499604,11.547406518975706,0
2008-09-04,5.620634971851562,6.980487094222834,-1
2008-09-05,5.412054248855719,6.707777732888026,0
2008-09-08,6.006289358900661,8.824218185916564,1
2008-09-09,4.805007322470558,9.067756889080421,-1
2008-09-10,9.57150142950782,10.948638467914918,0
2008-09-11,5.672775835275835,7.342659423909423,1
2008-09-12,5.3202471345209865,7.41241496593496,0
2008-09-15,9.565917835842837,11.951240389587452,-1
2008-09-16,9.770868448136829,9.856157722179782,1
2008-09-17,7.074105164343165,9.618942549824903,-1
2008-09-18,5.324949999619116,5.427219533938286,1
2008-09-19,4.07092353288474,6.789349914134396,1
2008-09-22,5.5058653952471674,8.173763332470765,-1
2008-09-23,5.646361657515835,9.691158674313856,-1
2008-09-24,4.632824130526336,8.547332018471725,0
2008-09-25,8.41707527338122,7.425059600087573,1
2008-09-26,5.680809010370624,6.968958621732039,0
2008-09-29,5.697697108855198,6.588831323904855,-1
2008-09-30,7.028628814962986,8.809696773599638,1
2008-10-01,6.783674138361641,9.555446694509195,0
2008-10-02,12.238650698337315,13.308521224070015,-1
