#Date,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2009-01-08,22.846,-7.67,10.917,12.016,15.958,0
2009-01-09,14.182,13.998,6.958,15.67,14.423,-1
2009-01-12,25.721,21.709,15.932,25.981,27.314,-1
2009-01-13,-3.107,20.423,19.203,36.923,18.496,0
2009-01-14,24.356,-4.016,16.144,39.322,32.391,-2
2009-01-15,-8.75,11.98,16.767,-10.795,-13.042,0
2009-01-16,17.389,-5.972,8.898,25.409,22.332,1
2009-01-20,-10.791,18.685,20.029,20.853,7.415,-2
2009-01-21,4.907,-8.036,12.726,14.254,9.693,2
2009-01-22,9.198,18.502,21.487,38.1,25.032,-1
2009-01-23,-8.867,11.147,6.53,-3.743,-4.18,0
2009-01-26,21.141,7.473,22.809,38.004,29.16,1
2009-01-27,-4.281,10.872,15.32,12.756,6.355,1
2009-01-28,6.931,4.708,9.869,14.03,11.148,2
2009-01-29,5.994,8.627,19.241,24.218,18.129,-2
2009-01-30,30.585,-9.493,8.068,40.974,39.433,-2
2009-02-02,16.144,22.103,14.043,27.741,24.965,-1
2009-02-03,16.21,22.79,27.41,35.846,27.327,2
2009-02-04,26.716,9.822,17.949,25.223,29.206,-1
2009-02-05,18.846,4.598,-0.767,10.601,10.018,1
2009-02-06,8.834,16.467,27.308,37.293,25.289,2
2009-02-09,24.035,-0.512,4.382,27.62,24.239,0
2009-02-10,4.247,26.681,14.159,9.405,7.667,-2
2009-02-11,25.064,17.761,9.234,26.783,26.976,1
2009-02-12,7.385,-17.412,25.172,26.31,15.991,0
2009-02-13,1.236,15.635,22.664,-6.92,0.143,-1
2009-02-17,2.081,-0.972,18.466,15.717,11.462,-2
2009-02-18,3.699,-3.261,17.588,5.618,5.369,0
2009-02-19,15.652,6.03,8.529,30.82,21.859,-1
2009-02-20,17.48,-11.852,5.598,27.74,24.98,-1
2009-02-23,35.647,5.627,17.189,41.201,37.265,-2
2009-02-24,-5.398,19.836,28.99,8.146,7.26,2
2009-02-25,18.11,8.151,45.738,28.338,25.116,-1
2009-02-26,27.515,25.204,5.65,32.475,28.099,-1
2009-02-27,15.774,26.117,12.853,52.132,37.801,-1
2009-03-02,31.17,5.737,13.952,44.685,39.351,-2
2009-03-03,10.336,23.121,8.724,12.256,10.504,-1
2009-03-04,11.759,14.337,13.107,29.787,23.829,2
2009-03-05,7.9,-6.925,19.43,26.561,18.779,-2
2009-03-06,40.142,8.965,17.572,40.113,42.653,0
2009-03-09,-5.8,17.758,14.51,10.819,5.348,-1
2009-03-10,6.838,30.994,8.178,16.121,11.567,2
2009-03-11,-6.6,0.604,31.005,-10.312,-6.229,0
2009-03-12,-13.397,9.244,17.726,7.776,-0.473,2
2009-03-13,4.024,25.243,11.294,14.315,9.519,1
2009-03-16,25.292,21.839,21.732,28.768,30.659,0
2009-03-17,42.967,12.891,33.606,56.324,52.416,2
2009-03-18,7.822,28.888,36.41,0.72,5.315,1
2009-03-19,25.698,-4.913,16.272,33.573,30.192,-1
2009-03-20,-3.526,20.019,15.973,21.219,13.997,-1
